Age,Income,Coapplicant_Income,Dependents,Employ_Status,Debt,PrevLDefault,CIBIL_Score,Loan_Approval
61,26587,10296,1,Employed,56824,1,465,0
36,23236,13264,3,Self-employed,78620,1,456,1
66,19245,32648,5,Employed,34596,0,572,0
29,64148,19563,1,Employed,59612,0,620,0
43,101424,49221,1,Unemployed,1523,0,659,0
64,112976,81845,5,Employed,92133,1,392,1
39,87834,21621,1,Employed,55327,0,569,0
32,142469,63510,0,Unemployed,58658,0,652,0
61,51547,96508,2,Unemployed,97324,0,564,0
28,18027,84070,3,Self-employed,48601,0,576,1
55,73863,46395,3,Self-employed,42363,1,475,0
70,24675,86575,3,Unemployed,95968,0,595,0
52,25770,11040,3,Self-employed,59732,0,571,0
32,24204,72366,0,Self-employed,99095,0,623,0
42,122959,93206,3,Unemployed,45691,0,620,1
68,26657,48919,1,Employed,6010,0,628,0
52,61861,91447,3,Unemployed,62728,1,447,1
47,143011,56125,5,Self-employed,74907,0,524,1
41,94290,29666,2,Employed,53910,1,434,1
73,30692,60432,3,Employed,62206,1,438,0
58,98003,69651,5,Unemployed,35331,1,470,1
60,24201,75937,4,Unemployed,65281,0,604,0
24,49469,66864,3,Unemployed,24922,0,613,1
59,28108,37611,2,Employed,42295,1,472,1
25,19332,92596,5,Self-employed,43608,0,599,1
63,138040,64825,1,Self-employed,45719,0,585,1
64,107273,86440,3,Self-employed,83863,0,588,1
72,115783,47325,4,Unemployed,49019,1,443,1
60,35502,49545,3,Unemployed,87755,1,462,1
59,31896,40231,1,Self-employed,41838,1,437,1
63,62689,16830,0,Unemployed,36320,1,473,0
54,106245,35082,0,Unemployed,12177,1,484,0
79,49949,31365,4,Employed,54782,0,565,1
24,130716,65482,5,Employed,23073,1,464,1
26,121355,92966,3,Employed,40958,1,429,1
45,131323,95386,1,Self-employed,58002,0,587,0
25,46232,91168,2,Unemployed,16725,0,611,1
67,29673,81995,5,Self-employed,40671,1,394,0
27,43373,28168,3,Self-employed,28478,1,460,0
52,137735,96036,1,Self-employed,84112,1,458,0
40,127868,22615,5,Employed,17300,1,456,0
78,92225,15369,4,Self-employed,27251,0,588,0
52,44023,71301,4,Self-employed,20455,0,574,1
23,72176,68023,3,Unemployed,45118,0,578,1
37,93951,49130,3,Self-employed,88842,0,563,1
73,114902,79789,5,Self-employed,85052,0,588,1
67,51666,66431,2,Unemployed,10062,0,623,1
33,138487,18902,5,Employed,6952,1,453,0
71,66685,39037,0,Self-employed,7472,1,463,1
25,90024,97902,4,Self-employed,78093,1,441,1
47,134916,82312,5,Self-employed,1717,0,621,0
36,116803,24689,4,Employed,93690,0,540,1
70,110523,28968,5,Employed,72008,0,569,0
60,32219,67231,0,Employed,90967,1,486,1
67,105828,50805,1,Self-employed,54838,0,592,0
29,145482,61538,0,Employed,62919,1,492,1
71,137426,98776,2,Unemployed,53877,0,570,1
66,56955,22738,2,Employed,53488,0,618,0
79,133657,74338,1,Unemployed,79981,0,565,0
36,126380,25316,4,Unemployed,38139,1,414,0
62,119448,62010,4,Unemployed,92080,1,410,0
66,85925,39825,4,Self-employed,97150,1,433,0
29,70762,77413,5,Employed,34913,0,530,0
76,89002,18352,4,Self-employed,20472,0,600,0
38,102121,58569,2,Unemployed,19231,0,610,0
43,149085,46332,2,Employed,25575,1,504,1
77,82491,5281,0,Unemployed,24518,0,621,1
79,32754,12177,2,Self-employed,57076,1,427,0
74,63303,33427,3,Self-employed,79201,1,418,1
30,93509,36208,4,Unemployed,57194,1,409,1
78,82589,56231,4,Employed,25536,0,581,1
62,20039,99650,2,Self-employed,93342,0,596,1
67,124285,6101,0,Unemployed,2538,0,623,0
47,96279,24592,1,Self-employed,58424,1,509,1
40,142368,25966,3,Employed,1554,0,601,0
53,51944,66217,5,Employed,32300,1,419,1
64,56489,17411,1,Employed,84699,1,478,1
53,58379,76092,0,Unemployed,98975,1,492,1
47,138264,47230,5,Self-employed,71441,1,448,0
71,19365,31572,4,Employed,65667,1,407,1
29,59658,60505,5,Unemployed,31779,0,597,0
33,121046,1867,3,Unemployed,37785,0,556,1
31,67318,72614,4,Employed,55550,0,540,0
61,96173,65190,0,Self-employed,53903,1,460,1
55,39184,70884,0,Unemployed,90955,1,505,0
30,99361,60286,4,Self-employed,39120,1,431,0
